states,x,y
Andaman & Nicobar Islands,248,-233
Andhra Pradesh,-86,-148
Arunachal Pradesh,272,157
Assam,235,106
Bihar,70,89
Chandigarh,-137,198
Chhattisgarh,-19,-8
Dadra & Nagar Haveli, -257, -14
Daman & Diu,-257,-24
Delhi,-130,151
Goa,-209,-137
Gujrat,-275,16
Haryana,-150,170
Himanchal Pradesh,-126,227
Jammu & Kashmir,-183,270
Jharkhand,56,38
Karnataka,-179,-160
Kerela,-148,-255
Ladakh,-145,297
Lakshwadeep,-266,-204
Madhya Pradesh,-113,36
Maharastra,-183,-51
Manipur,264,72
Meghalaya,180,83
Mizoram,241,37
Nagaland,281,95
Odisha,40,-35
Puducherry,-69,-212
Punjab,-174,190
Rajasthan,-231,110
Sikkim,130,131
Tamil Nadu,-114,-245
Telangana,-95,-86
Tripura,208,46
Uttar Pradesh,-63,117
Uttarakhand,-88,189
West Bengal,120,44
